"name","lat","lon","address","source","cat"
"ANZ","-36.84568","174.76475","Auckland Central Auckland 1010 New Zealand","here","money"
"Kings Bridge Appartments","-36.84937","174.7593","63 Nelson St Auckland Central Auckland 1010 New Zealand","here","residence"
"Tournament Parking","-36.854","174.76136","Auckland Central Auckland 1010 New Zealand","here","car"
"The Bird Cage","-36.84846","174.75281","Freemans Bay Auckland 1011 New Zealand","here","bar"
"Austin Autobody","-36.85303","174.76713","Auckland Central Auckland 1010 New Zealand","here","car"
"Mayoral Drive Opposite Aut","-36.852702","174.765637","Mayoral Dr Auckland Central Auckland 1010 New Zealand","here","delete"
"Just Laptops","-36.84576","174.7687","Auckland Central Auckland 1010 New Zealand","here","shop"
"Auckland Central Police Station","-36.85179","174.76031","Auckland Central Auckland 1010 New Zealand","here","government"
"Fanshawe Car Park","-36.84582","174.75972","Auckland Central Auckland 1010 New Zealand","here","car"
"Albert Park Cafe","-36.84986","174.76654","Auckland Central Auckland 1010 New Zealand","here","cafe"
"GalatosLive","-36.85861","174.75772","Auckland Central Auckland 1010 New Zealand","here","activities"
"Craig Griffin & Lord","-36.87202","174.76178","Mount Eden Auckland 1024 New Zealand","here","office"
"Allens Realty","-36.87983","174.76139","Mount Eden Auckland 1024 New Zealand","here","shop"
"Parnell Rd Near St Marys Close","-36.85992","174.78286","433 Parnell Rd Parnell Auckland 1052 New Zealand","here","delete"
"Gauchos","-36.84608","174.76352","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Hullucar","-36.85065","174.76363","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Kungfu Noodles","-36.8562","174.76242","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"A2Z Translate Ltd","-36.84693","174.76745","Auckland Central Auckland 1010 New Zealand","here","office"
"Hue","-36.84934","174.75138","Freemans Bay Auckland 1011 New Zealand","here","office"
"Japanese Cuisine","-36.84345","174.76093","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Avantiplus Newmarket","-36.86513","174.77673","Newmarket Auckland 1023 New Zealand","here","shop"
"Jones the Grocer","-36.84328","174.76153","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Mayoral Drive Opposite Aut","-36.852702","174.765637","Mayoral Dr Auckland Central Auckland 1010 New Zealand","here","delete"
"Wishbone","-36.84625","174.77498","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Auckland Uni of Technology-Gate 3","-36.85236","174.76679","Auckland Central Auckland 1010 New Zealand","here","education"
